image,nom,domaine_activite,nombre_abonnes,Type,lien_linkedin,lien_web,Description (pour groupes)
https://media.licdn.com/dms/image/C4D0BAQGVM4tcVapkag/company-logo_200_200/0?e=2159024400&v=beta&t=zjhL78roL4iE7HPBojsHoWlW6v7l8yEOwl2U0FsK8iY,Change Management Institute,Gestion des associations et fondations,21938,Entreprise,https://www.linkedin.com/company/change-management-institute/,http://www.change-management-institute.com/,
https://vectorlogoseek.com/wp-content/uploads/2019/05/boston-consulting-group-bcg-henderson-institute-vector-logo-xs.png,BCG Henderson Institute,Conseil en management,2156,Institue,https://www.linkedin.com/company/bcg-henderson-institute/,https://bcghendersoninstitute.com/,
